candidate,reference_class,branch_score,junction_score,parallel_path_score,tortuosity_score,asymmetry_score,chamber_score,qualitative_notes,rank
A,R1,1,1,3,0,0,0,Two straight horizontal channels and one vertical bridge.,6
B,R1,2,3,0,2,0,2,Crossed feeders with a compact central chamber; approximately symmetric.,3
C,R1,2,3,0,2,0,3,Two feeders merge into a broad central shared path and split again.,4
D,R1,2,1,0,3,3,0,Asymmetric offset multi-bend paths; strongest maze-like tortuosity.,1
E,R1,3,3,0,2,0,3,Four branches terminate at a broad central chamber; explicit merge/split.,2
F,R1,2,1,3,1,2,0,Two parallel channels with one oblique communicating side branch.,5
A,R2,1,1,3,0,0,0,Two straight horizontal channels and one vertical bridge.,6
B,R2,2,3,0,2,0,2,Crossed feeders with a compact central chamber; approximately symmetric.,3
C,R2,2,3,0,2,0,3,Two feeders merge into a broad central shared path and split again.,2
D,R2,2,1,0,3,3,0,Asymmetric offset multi-bend paths; strongest maze-like tortuosity.,4
E,R2,3,3,0,2,0,3,Four branches terminate at a broad central chamber; explicit merge/split.,1
F,R2,2,1,3,1,2,0,Two parallel channels with one oblique communicating side branch.,5
A,R3,1,1,3,0,0,0,Two straight horizontal channels and one vertical bridge.,1
B,R3,2,3,0,2,0,2,Crossed feeders with a compact central chamber; approximately symmetric.,3
C,R3,2,3,0,2,0,3,Two feeders merge into a broad central shared path and split again.,4
D,R3,2,1,0,3,3,0,Asymmetric offset multi-bend paths; strongest maze-like tortuosity.,5
E,R3,3,3,0,2,0,3,Four branches terminate at a broad central chamber; explicit merge/split.,6
F,R3,2,1,3,1,2,0,Two parallel channels with one oblique communicating side branch.,2
